LATITUDE,LONGITUDE
-16.0,-151
-16.5,-151
-16.9995,-151
-17.4998,-151
-18.0,-151
-18.4978,-151
-18.9997,-151
-19.4995,-151
-20.0002,-151
-20.499000000000002,-151
-21.0002,-151
-21.5002,-151
-22.0,-151
-22.5,-151
-22.9997,-151
-23.4997,-151
-24.0002,-151
-24.4992,-151
-24.9995,-151
-25.5,-151
-26.0002,-151
-26.4998,-151
-27.0002,-151
-27.5,-151
-28.0002,-151
-28.5,-151
-29.0,-151
-29.5,-151
-30.0,-151
-30.5,-151
-30.9995,-151
-31.5,-151
-32.0005,-151
-32.4985,-151
-32.9988,-151
-33.499,-151
-34.0,-151
-34.5,-151
-34.9993,-151
-35.5,-151
-35.9997,-151
-36.5,-151
-37.0003,-151
-37.4993,-151
-38.0,-151
-38.5,-151
-38.9997,-151
-39.5,-151
-39.9995,-151
-40.5,-151
-40.9995,-151
-41.5003,-151
-42.0,-151
-42.4998,-151
-43.0,-151
-43.4997,-151
-44.0003,-151
-44.5,-151
-45.0002,-151
-45.4983,-151
-45.9993,-151
-46.4998,-151
-46.9998,-151
-47.4998,-151
-47.9988,-151
-48.5005,-151
-48.9995,-151
-49.498999999999995,-151
-49.9985,-151
-50.4993,-151
-50.9997,-151
-51.5,-151
-52.0005,-151
-52.4983,-151
-53.0013,-151
-53.4995,-151
-54.0018,-151
-54.4992,-151
-55.0005,-151
-55.501999999999995,-151
-55.9998,-151
-56.5002,-151
-56.9993,-151
-57.5007,-151
-57.9993,-151
-58.4993,-151
-59.0002,-151
-59.501000000000005,-151
-60.0,-151
-60.5003,-151
-60.9997,-151
-61.5015,-151
-61.9997,-151
-62.4978,-151
-63.0002,-151
-63.498999999999995,-151
-64.001,-151
-64.4963,-151
-64.9995,-151
-65.4997,-151
-66.0,-151
-66.5,-151
-67.0007,-151
-67.5007,-151
-67.9987,-151
-68.5003,-151
-69.0008,-151
-69.4998,-151
-70.0002,-151
-70.5002,-151
-70.9995,-151
-17.0002,-151
-16.0,-151
-15.0,-151
-14.0002,-151
-12.9998,-151
-12.0003,-151
-11.0007,-151
-10.0,-151
-9.0,-151
-7.9998,-151
-7.0002,-151
-6.0,-151
-5.0,-151
-4.0002,-151
-2.9997,-151
-2.0,-151
-1.5,-151
-1.0,-151
-0.5002,-151
0.0,-151
0.5,-151
1.0,-151
1.5,-151
2.0,-151
3.0,-151
4.0,-151
5.0,-151
5.9998,-151
7.0005,-151
8.0002,-151
9.0,-151
10.0,-151
11.0003,-151
12.003,-151
12.9998,-151
14.0,-151
15.0003,-151
16.0,-151
17.0,-151
18.0003,-151
19.0,-151
20.0002,-151
21.0,-151
22.0003,-151
23.0,-151
24.0,-151
24.9995,-151
26.0002,-151
27.0,-151
28.0002,-151
29.0,-151
30.0,-151
30.9997,-151
31.9998,-151
32.9997,-151
33.9997,-151
35.0,-151
36.0,-151
36.9998,-151
37.9997,-151
39.0,-151
40.0,-151
41.0,-151
41.9997,-151
44.0002,-151
44.9998,-151
46.0,-151
47.0,-151
48.0017,-151
49.0002,-151
50.0,-151
50.9998,-151
51.9998,-151
53.0,-151
54.0,-151
55.0,-151
55.5,-151
55.67,-151
55.7698,-151
55.8502,-151
55.9197,-151
56.01,-151
56.2198,-151
56.2802,-151
